,,,Goal,swim (min),,,,bike (min),,,,run (min),,,,,,,,,,,,,,
date,DoW,time (h),,z1,z2,z3,z4,z1,z2,z3,z4,z1,z2,z3,z4,sideplank,boxing / xfit,lifting bis/back,lifting tris/chest,icing/salt,meditation / steam,stretching,comments,% change weekly,hrs change weekly,weeks until race
1/1/2014,W,0.6,,,,,,,,,,,,,,10,25,,,,,,,,,
1/2/2014,R,0.6,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2014,F,0.6,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2014,S,0.0,,,,,,,,,,,,,,,,,,,5,,,,,
1/5/2014,S,0.0,,,,,,,,,,,,,,,,,,,,,,,,32
1/6/2014,M,1.0,,,,,,,,,,,,,,,60,,,,5,,,,,
1/7/2014,T,2.3,,,30,15,,,,,,,,,,4,,,30,,5,,,,,
1/8/2014,W,3.2,,,,,,,,,,,,10,,,25,20,,,5,,,,,
1/9/2014,R,4.1,,,,,,,,45,,,,,,4,,,,,,,,,,
1/10/2014,F,4.2,,,,,,,,,,,,,,,,,10,,5,10,,622.86%,3.6,
1/11/2014,S,2.5,,,,,,,30,120,,,,,,,,,,,5,,,,,
1/12/2014,S,2.5,,,,,,,,,,,,,,,,,,,,,,,,31
1/13/2014,M,3.5,,,,,,,,,,,,,,,60,,,,5,,,,,
1/14/2014,T,3.5,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2014,W,4.7,,,,,,,,,,,15,,,4,35,20,,,5,90,,,,
1/16/2014,R,5.1,,,,,,,,,,,,,,,,,20,,5,,,,,
1/17/2014,F,5.2,,,,,,,,,,,10,,,,,,,,,,,24.11%,1.0,
1/18/2014,S,2.5,,,,,,,30,120,,,,,,,,,,,5,,,,,
1/19/2014,S,2.5,,,,,,,,,,,,,,,,,,,,,,,,30
1/20/2014,M,2.5,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2014,T,3.3,,,30,15,,,,,,,,,,,,,,,5,10,,,,
1/22/2014,W,3.3,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2014,R,5.3,,,,,,,120,,,,,,,,,,,,,,,,,
1/24/2014,F,5.8,,,,,,,,,,,10,,,4,,,20,,5,10,,11.15%,0.6,
1/25/2014,S,2.5,,,,,,,30,120,,,,,,,,,,,5,,,,,
1/26/2014,S,3.6,,,30,15,,,,,,,,,,,,20,,,5,,,,,29
1/27/2014,M,4.6,,,,,,,,,,,,,,,60,,,,5,,,,,
1/28/2014,T,5.4,,,30,15,,,,,,,,,,4,,,,,5,20,,,,
1/29/2014,W,6.3,,,,,,,,,,,10,25,,,,20,,,5,,,,,
1/30/2014,R,6.7,,,,,,,,,,,,,,4,,,20,,5,20,,,,
1/31/2014,F,7.3,,,,,,,,,,,15,,,,,20,,,5,,,25.50%,1.5,
2/1/2014,S,2.5,,,,,,,30,120,,,,,,,,,,,5,,,,,
2/2/2014,S,3.8,,,60,15,,,,,,,,,,,,,,,5,,,,,28
2/3/2014,M,3.8,,,,,,,,,,,,,,,,,,,,,,,,
2/4/2014,T,4.1,,,,,,,,,,,20,,,,,,,,5,,,,,
2/5/2014,W,5.4,,,,,,,,,,,10,25,,4,,40,,10,5,,,,,
2/6/2014,R,6.1,,,,,,,,,,,,,,,,,40,10,5,,,,,
2/7/2014,F,6.6,,,,,,,,,,5,10,10,5,,,,,,5,,,-10.05%,-0.7,
2/8/2014,S,2.5,,,,,,,30,120,,,,,,,,,,,5,,,,,
